Ec,Rel,Erat_1,E50_1,c_1,phi_1,k0_1,Erat_2,E50_2,c_2,phi_2,k0_2
14.2,39.6,2.85,63.4,27.2,30.2,1.1,2.12,146.0,5.32,41.7,0.608
15.3,61.37,2.73,69.6,29.3,29.2,0.864,2.54,115.0,6.33,40.8,0.455
13.7,66.4,2.34,58.3,30.5,30.9,0.8,2.6,132.0,5.17,41.7,0.536
15.2,37.41,2.61,68.3,34.1,29.5,0.87,2.81,120.0,5.74,41.6,0.604
12.7,47.54,2.72,67.7,32.2,29.9,1.07,2.08,122.0,6.1,43.8,0.507
12.9,30.31,2.66,64.1,27.9,30.5,0.711,2.07,140.0,4.08,41.6,0.511
12.3,40.04,2.35,62.7,29.8,29.2,0.749,2.14,138.0,6.3,43.4,0.49
13.3,65.09,2.65,67.0,30.7,28.0,1.05,2.54,135.0,4.66,40.8,0.512
14.0,62.02,2.62,63.1,22.2,29.1,0.932,2.61,127.0,5.03,43.1,0.506
13.8,66.97,2.96,78.7,33.4,31.2,0.923,2.77,123.0,4.53,41.5,0.58
11.5,67.94,2.31,60.3,20.2,30.8,0.78,2.76,131.0,4.52,40.5,0.582
12.9,41.02,2.64,54.6,23.2,29.1,0.793,2.0,136.0,4.88,41.2,0.564
13.8,60.59,2.52,70.9,31.9,30.6,0.748,2.86,121.0,4.67,42.0,0.55
11.9,52.22,2.65,67.4,30.2,29.7,0.926,2.53,125.0,6.21,40.7,0.576
14.9,55.43,2.49,68.0,28.2,29.5,0.79,2.78,131.0,6.37,43.3,0.515
12.4,69.58,2.87,59.2,31.8,32.3,0.816,2.97,131.0,5.9,42.2,0.465
11.4,46.36,2.45,65.7,25.6,31.1,1.0,2.08,131.0,5.88,43.6,0.615
13.2,54.85,2.65,72.9,29.8,29.1,1.09,2.88,124.0,5.26,41.7,0.478
13.6,67.99,2.76,63.8,25.0,28.2,0.993,2.31,131.0,4.47,41.0,0.455
11.6,49.39,2.28,58.7,21.0,28.7,0.947,2.15,141.0,5.54,42.1,0.637
13.8,37.93,2.02,65.7,23.3,28.2,1.02,2.87,130.0,6.34,40.6,0.45
12.6,67.38,2.82,67.4,27.7,30.3,0.806,2.41,136.0,5.1,42.3,0.466
12.4,54.65,2.43,70.1,32.4,29.1,0.662,2.19,132.0,5.04,42.8,0.566
14.2,66.22,2.41,64.7,21.2,28.7,0.848,2.51,129.0,3.43,41.4,0.583
12.2,43.05,2.67,65.6,31.1,31.0,0.873,2.53,130.0,5.1,43.0,0.617
12.4,47.1,2.16,58.2,31.1,29.3,0.818,2.66,144.0,7.41,41.4,0.476
13.2,53.89,2.25,59.6,41.8,28.9,0.948,2.54,110.0,5.81,40.4,0.555
11.8,68.98,2.49,55.3,31.5,29.4,0.888,2.27,145.0,6.55,40.1,0.524
11.1,60.98,2.9,64.0,26.2,29.3,0.73,2.23,129.0,4.76,42.5,0.512
13.1,42.81,2.61,71.7,25.3,29.0,0.626,2.93,129.0,4.11,44.3,0.56
12.0,36.7,2.6,64.2,24.5,30.3,0.954,2.51,129.0,7.63,39.9,0.59
13.9,69.67,2.95,60.3,31.6,28.2,0.858,2.18,124.0,3.57,42.6,0.503
13.1,64.3,2.51,59.3,25.6,29.1,1.04,2.03,118.0,5.71,42.3,0.491
12.9,42.46,2.53,66.4,31.7,31.2,0.806,2.49,127.0,4.28,41.5,0.623
11.6,50.7,2.09,69.2,29.1,28.1,1.09,2.27,139.0,4.76,41.6,0.646
12.3,43.92,2.3,66.6,32.2,28.6,0.615,2.61,125.0,5.56,41.5,0.617
13.1,63.89,2.57,72.2,33.6,29.7,0.93,2.16,132.0,4.96,42.3,0.536
11.7,35.61,2.14,70.0,22.7,29.3,0.646,2.56,144.0,5.2,42.2,0.646
13.1,58.84,2.82,64.0,28.6,30.3,1.02,2.11,118.0,5.11,42.2,0.646
12.6,34.83,2.33,63.0,32.8,28.8,1.08,2.68,142.0,6.01,40.9,0.543
13.0,44.85,2.51,60.7,19.8,29.8,0.745,2.07,114.0,6.93,40.7,0.633
15.1,57.21,2.1,63.3,26.3,31.1,1.04,2.47,117.0,6.21,43.5,0.581
12.8,38.23,2.08,67.4,29.9,28.6,0.989,2.69,137.0,4.69,41.6,0.461
12.8,55.58,2.88,66.9,26.2,29.7,0.6,2.45,131.0,4.06,42.8,0.639
13.6,33.48,2.55,62.9,27.6,29.2,1.03,2.4,127.0,5.05,42.3,0.56
12.6,48.09,2.54,65.8,20.8,30.3,0.895,2.99,121.0,5.92,41.6,0.53
13.9,55.82,2.76,52.7,27.8,30.7,0.907,2.05,113.0,5.1,42.4,0.488
14.4,52.81,2.71,65.1,27.5,30.4,0.82,2.5,123.0,5.64,41.9,0.589
11.3,54.61,2.16,69.5,22.5,31.6,0.887,2.61,118.0,7.11,41.9,0.598
13.4,39.51,2.71,66.1,31.3,29.6,0.979,2.35,135.0,5.53,44.3,0.47
13.6,36.96,2.12,56.2,37.2,29.3,0.825,2.63,109.0,4.99,43.1,0.636
12.5,65.14,2.84,65.7,30.5,28.6,0.809,2.49,121.0,6.58,41.0,0.522
13.2,69.48,2.04,67.0,29.6,31.7,0.605,2.7,128.0,5.16,41.3,0.552
10.6,53.82,2.19,61.7,20.6,30.5,0.756,2.22,135.0,6.06,42.8,0.56
11.7,65.36,2.66,69.9,43.0,30.0,0.999,2.39,122.0,6.0,41.4,0.516
13.3,36.4,2.43,72.4,30.8,30.0,1.03,2.73,152.0,6.11,42.5,0.486
13.2,66.32,2.27,71.0,37.4,28.8,1.07,2.78,125.0,5.3,41.6,0.552
12.0,32.22,2.9,68.2,31.7,29.3,0.911,2.79,120.0,5.55,41.2,0.575
12.4,64.5,2.47,66.2,33.7,31.4,0.638,2.47,126.0,3.33,42.6,0.581
12.9,46.1,2.56,62.9,25.4,28.5,0.81,2.26,121.0,6.89,41.3,0.477
13.4,46.79,2.98,66.7,30.9,28.9,0.855,2.76,140.0,5.06,42.0,0.636
13.2,46.91,2.52,69.5,36.0,28.4,1.03,2.31,135.0,4.27,44.0,0.51
11.6,69.4,2.55,60.4,31.6,31.7,0.9,2.01,150.0,4.27,41.2,0.589
11.3,56.91,2.36,62.8,35.1,29.1,0.804,2.55,130.0,4.56,41.9,0.629
10.5,33.38,2.75,68.0,31.5,30.5,0.9,2.3,142.0,4.81,41.7,0.487
10.8,52.41,2.72,66.1,31.5,29.5,0.86,2.78,125.0,5.14,44.5,0.528
14.3,69.9,2.59,62.2,25.2,29.9,0.686,2.67,121.0,4.87,40.9,0.453
12.9,32.52,2.88,63.6,28.6,28.3,0.922,2.07,108.0,3.24,42.9,0.452
11.6,64.0,2.72,55.0,35.8,28.4,0.937,2.93,137.0,2.32,40.8,0.649
15.0,57.48,2.26,60.4,29.7,29.9,0.633,2.36,116.0,5.82,43.9,0.462
13.5,34.37,2.4,67.9,27.6,30.5,0.987,2.87,114.0,5.19,41.6,0.493
13.8,42.13,2.64,69.6,27.5,30.8,0.841,2.69,126.0,4.46,41.7,0.606
12.6,38.75,2.68,65.1,27.3,31.1,0.924,2.3,128.0,3.77,42.1,0.642
12.3,31.05,2.96,65.1,28.3,31.1,0.957,2.69,129.0,4.2,42.5,0.535
14.0,63.67,2.81,64.3,21.6,29.6,0.671,2.91,119.0,6.79,41.9,0.58
14.6,69.06,2.89,61.5,22.7,30.4,1.05,2.5,130.0,5.52,43.0,0.608
13.0,50.03,2.31,69.7,30.7,29.9,0.919,2.76,124.0,7.89,41.3,0.469
12.5,61.02,2.46,66.3,29.4,28.8,0.854,2.1,121.0,7.2,43.0,0.609
12.8,48.03,2.63,65.9,25.1,28.8,0.817,2.98,129.0,4.91,43.4,0.506
12.7,53.31,2.2,69.5,32.6,29.2,0.969,2.54,124.0,5.82,40.8,0.585
13.3,67.91,2.27,68.7,28.6,29.8,1.1,2.56,146.0,6.32,42.1,0.597
12.1,59.91,2.92,71.2,26.9,30.7,0.995,2.37,129.0,4.65,41.3,0.575
14.6,35.3,2.95,62.6,37.3,28.9,0.611,2.71,131.0,5.78,42.8,0.479
11.2,46.17,2.11,61.5,31.7,31.1,0.812,2.39,132.0,5.3,42.3,0.636
12.9,44.07,2.2,61.5,29.0,30.9,0.674,2.69,130.0,4.51,42.6,0.578
13.3,62.32,2.54,67.5,26.7,32.6,0.991,2.96,130.0,5.08,40.7,0.579
12.3,51.24,2.72,66.2,29.7,31.7,0.99,2.37,132.0,4.22,40.4,0.573
12.8,54.05,2.31,60.6,26.9,30.5,1.09,2.55,137.0,7.25,44.1,0.45
13.2,63.28,2.26,58.4,35.5,29.5,0.672,2.06,130.0,4.82,42.7,0.535
11.7,63.11,2.68,61.6,28.7,30.5,0.856,2.12,132.0,4.96,42.1,0.63
13.0,39.46,2.23,59.8,34.6,30.2,0.778,2.77,142.0,4.44,41.5,0.498
13.0,35.82,2.38,68.4,35.3,31.1,0.665,2.3,134.0,5.39,41.3,0.54
10.9,56.14,2.79,66.7,33.7,29.4,0.769,2.41,130.0,4.31,39.4,0.642
12.0,62.15,2.7,63.0,25.1,30.4,0.643,2.43,124.0,4.25,40.1,0.483
14.5,51.08,2.07,73.6,34.0,30.1,0.655,2.33,118.0,4.02,41.2,0.531
11.6,43.03,2.23,74.1,28.2,30.6,0.766,2.86,131.0,4.75,40.7,0.632
12.3,62.6,2.24,57.0,34.1,28.6,0.725,2.75,137.0,4.45,39.7,0.527
12.8,38.97,2.54,75.2,32.1,32.2,0.905,2.68,132.0,4.43,41.9,0.573
12.5,66.82,2.71,67.2,30.2,29.8,0.986,2.21,125.0,4.8,40.6,0.639
11.5,55.14,2.97,59.0,32.7,30.1,0.886,2.73,119.0,4.06,42.3,0.563
12.3,51.77,2.44,67.8,30.6,30.4,0.958,2.52,116.0,5.66,41.8,0.486
12.4,37.81,2.67,60.5,18.6,30.8,0.76,2.85,138.0,5.67,41.4,0.469
12.0,54.39,2.3,64.8,30.9,29.3,0.908,2.45,128.0,5.41,40.9,0.619
14.0,47.94,2.18,66.1,30.8,30.7,0.92,2.87,117.0,5.21,40.9,0.582
12.7,34.86,2.62,70.4,23.9,29.6,0.601,2.99,136.0,6.39,40.8,0.484
14.6,47.82,2.57,58.8,19.1,28.6,0.77,2.65,131.0,4.19,42.7,0.559
12.4,67.09,2.06,70.5,28.8,30.4,1.03,2.51,153.0,4.07,43.6,0.494
12.9,68.48,2.35,68.1,26.5,30.6,0.946,2.99,131.0,3.96,42.5,0.648
12.7,47.47,2.86,66.4,27.9,29.8,1.02,2.11,115.0,4.48,40.8,0.484
13.5,45.54,2.7,63.4,21.8,30.9,1.03,2.48,131.0,3.69,42.7,0.582
13.2,52.49,3.0,68.7,24.8,30.0,0.933,2.25,108.0,6.42,41.7,0.537
11.6,40.35,2.13,68.1,27.4,30.2,0.801,2.34,130.0,6.4,41.2,0.487
12.7,44.16,2.24,64.6,34.2,30.3,1.06,2.74,110.0,5.69,42.9,0.51
14.0,57.93,2.03,71.5,28.4,29.3,1.01,2.78,129.0,5.74,42.6,0.502
13.2,44.35,2.44,60.8,25.1,28.9,0.791,2.84,125.0,6.15,42.1,0.539
12.8,57.18,2.61,64.4,24.4,30.2,0.931,2.18,125.0,5.37,44.2,0.553
15.5,52.52,2.94,65.3,35.4,29.4,0.772,2.88,142.0,4.16,41.5,0.569
12.1,40.56,2.6,66.0,27.9,30.2,0.899,2.09,155.0,5.79,41.4,0.502
12.2,39.88,2.17,63.9,38.2,30.6,0.743,2.27,131.0,4.65,42.3,0.507
14.4,35.56,2.68,59.9,23.5,28.8,0.983,2.06,139.0,3.83,42.9,0.562
13.1,64.04,2.02,63.8,29.3,31.5,0.701,2.99,134.0,6.7,41.9,0.54
14.9,56.56,2.37,56.9,34.2,29.5,0.97,2.66,136.0,4.98,42.9,0.572
11.8,55.24,2.85,67.3,27.3,30.3,0.917,2.02,141.0,4.59,43.1,0.459
12.3,59.78,2.88,62.4,14.1,30.4,0.846,2.82,137.0,5.73,42.9,0.49
12.5,65.64,2.86,67.2,27.7,29.6,0.635,2.59,149.0,6.23,41.4,0.539
13.1,65.22,2.95,67.7,35.3,30.1,0.798,2.11,131.0,3.8,42.9,0.595
13.6,67.57,2.89,59.1,27.2,28.6,0.929,2.04,132.0,5.08,41.3,0.638
13.3,45.67,2.31,76.5,32.7,31.3,1.01,2.24,132.0,5.46,42.1,0.46
12.2,46.5,2.25,72.3,25.8,28.4,0.639,2.47,152.0,5.31,42.7,0.504
11.0,43.56,2.89,62.9,23.2,31.2,0.815,2.97,139.0,3.3,43.0,0.523
13.7,51.46,2.24,65.0,34.2,30.5,0.766,2.84,143.0,5.58,41.7,0.481
13.7,33.26,2.45,57.1,28.9,30.5,0.978,2.41,138.0,5.8,40.1,0.613
13.7,47.8,2.84,64.5,32.1,29.3,0.686,2.63,120.0,5.58,43.7,0.594
12.6,50.07,2.13,54.9,30.3,28.1,0.712,2.26,121.0,4.55,40.9,0.634
12.2,33.91,2.54,68.8,28.5,28.7,0.891,2.21,129.0,5.89,43.4,0.59
10.6,68.77,2.3,76.0,30.9,27.7,0.968,2.98,148.0,4.53,41.8,0.634
14.2,33.67,2.42,68.8,29.7,29.0,0.647,2.35,131.0,5.72,39.9,0.62
12.5,61.46,2.48,60.9,30.6,30.4,0.714,2.99,132.0,6.91,41.9,0.528
14.1,56.92,2.64,63.2,33.0,31.0,0.645,2.98,137.0,6.31,44.4,0.474
13.3,54.02,2.52,73.5,23.8,31.5,0.882,2.67,127.0,4.83,42.1,0.473
14.2,43.37,2.39,67.3,32.6,30.1,0.808,2.3,122.0,5.32,42.0,0.59
13.7,60.38,2.46,69.8,32.9,30.1,1.02,2.67,119.0,5.28,40.8,0.541
11.7,52.62,2.79,56.6,28.0,30.0,0.877,2.88,130.0,4.51,41.1,0.584
12.1,58.66,2.01,64.1,23.1,29.8,0.623,2.41,118.0,4.13,42.1,0.591
12.2,58.1,2.31,63.0,28.3,30.0,1.03,2.67,133.0,3.66,42.6,0.459
12.5,65.8,2.48,62.8,34.9,29.1,1.05,2.43,107.0,3.35,40.6,0.536
13.9,47.26,2.3,64.0,31.9,31.4,0.98,2.77,138.0,5.09,41.4,0.531
12.0,60.14,2.04,60.6,29.2,29.6,0.631,2.78,135.0,4.64,41.9,0.451
12.5,40.27,2.25,56.6,29.8,30.1,0.675,2.45,128.0,3.08,42.0,0.509
12.1,36.11,2.09,64.9,32.6,30.1,0.953,2.1,131.0,6.44,41.6,0.477
13.5,44.82,2.34,54.2,26.7,30.0,1.02,2.42,132.0,4.81,42.7,0.64
13.4,41.17,2.19,66.5,24.0,29.3,0.66,2.13,133.0,6.68,42.1,0.531
12.2,65.98,2.64,58.1,34.2,31.0,1.05,2.6,133.0,3.53,42.4,0.483
14.4,64.59,2.03,82.2,34.6,31.5,0.797,2.55,135.0,4.56,41.5,0.545
13.5,69.87,2.79,71.0,26.1,31.3,0.706,2.34,131.0,5.94,43.1,0.451
13.1,33.59,2.1,67.6,29.7,30.6,0.652,2.13,130.0,4.12,42.5,0.641
12.6,35.26,2.63,57.1,26.1,29.1,1.08,2.15,138.0,7.19,41.8,0.571
14.3,45.82,2.62,55.3,29.1,29.6,0.981,2.53,150.0,4.25,43.4,0.649
12.2,45.44,2.94,69.3,38.7,28.5,0.747,2.78,146.0,5.87,41.4,0.615
12.3,67.7,2.17,62.1,28.3,29.6,0.616,2.57,127.0,6.29,44.9,0.604
14.2,30.43,2.95,73.6,32.4,30.2,0.753,2.89,122.0,5.48,42.2,0.577
13.3,43.27,2.23,64.7,32.6,30.6,0.617,2.64,115.0,5.23,41.8,0.587
12.7,48.41,2.98,71.4,33.1,33.4,0.94,2.64,119.0,4.5,40.2,0.48
13.1,46.48,2.02,74.0,31.6,28.9,1.09,2.4,123.0,3.44,41.8,0.469
13.1,55.99,2.59,67.2,19.6,30.7,0.974,2.47,123.0,5.85,41.2,0.546
14.3,61.75,2.83,60.8,39.8,29.8,0.847,2.87,137.0,5.12,41.9,0.49
14.6,54.2,2.68,63.2,26.8,29.8,0.763,2.74,130.0,3.38,43.5,0.649
12.0,32.04,2.26,64.0,30.2,29.7,0.813,2.11,148.0,3.36,42.1,0.472
14.0,40.15,2.34,70.4,27.1,30.6,0.698,2.92,128.0,4.1,41.6,0.61
12.8,38.19,2.06,63.8,39.3,28.8,0.977,2.02,117.0,3.49,41.3,0.598
12.6,39.08,2.73,65.1,32.3,27.0,0.899,2.09,130.0,2.47,40.6,0.473
13.6,68.19,2.63,72.1,36.5,27.8,1.02,2.64,127.0,4.77,43.0,0.577
12.5,65.6,2.14,62.0,22.9,29.9,1.06,2.98,121.0,4.46,43.5,0.567
14.1,63.96,2.97,61.6,29.9,29.6,0.863,2.8,133.0,4.4,42.2,0.649
12.7,62.51,2.21,70.9,32.2,30.7,0.661,2.74,130.0,4.95,42.4,0.513
11.8,50.14,2.19,62.6,34.8,30.0,0.979,2.85,145.0,2.58,41.5,0.621
12.9,53.77,2.63,61.8,23.6,29.3,0.699,2.34,114.0,5.6,42.7,0.533
11.4,38.4,2.1,67.9,22.7,30.1,0.789,2.03,120.0,5.49,41.0,0.632
13.3,62.31,2.19,66.6,32.3,29.6,1.04,2.01,122.0,6.97,40.8,0.607
13.2,65.18,2.69,60.2,33.9,30.1,1.04,3.0,136.0,4.76,41.6,0.469
14.0,48.13,2.76,69.5,41.0,27.9,1.09,2.58,125.0,4.63,42.1,0.573
14.5,69.73,2.59,74.2,28.1,29.0,0.741,2.34,119.0,4.62,40.3,0.527
13.2,65.56,2.38,59.3,28.1,29.4,0.956,2.03,128.0,4.72,41.9,0.497
11.4,42.73,2.78,64.9,22.5,28.7,0.664,2.39,131.0,3.2,42.2,0.64
14.4,61.79,2.57,58.3,35.9,30.1,0.833,2.73,146.0,2.88,43.9,0.529
14.0,64.39,2.43,62.6,33.5,29.4,0.982,2.76,113.0,5.33,42.5,0.53
14.4,62.12,2.61,64.5,24.0,30.1,0.916,2.4,131.0,5.42,42.8,0.585
13.0,51.34,2.71,63.5,29.7,29.9,0.964,2.46,117.0,6.28,41.8,0.512
15.1,31.29,2.4,55.7,28.8,29.7,0.697,2.32,125.0,5.54,42.2,0.618
12.8,39.77,2.64,64.5,27.0,30.9,0.883,2.17,154.0,4.42,41.1,0.483
13.3,49.21,2.84,59.2,34.7,31.2,0.782,2.45,143.0,4.59,43.8,0.515
13.3,56.84,2.76,67.3,29.7,29.8,1.07,2.27,128.0,5.48,42.3,0.577
12.4,62.86,2.06,66.7,26.9,29.8,0.875,2.53,130.0,4.03,42.3,0.619
12.5,56.8,2.73,71.0,28.7,31.0,0.875,2.47,147.0,5.41,41.8,0.646
14.2,34.2,2.04,62.1,31.2,31.7,0.974,2.58,134.0,4.97,41.9,0.606
13.5,68.63,2.84,66.5,27.9,30.7,0.796,2.41,125.0,4.09,42.0,0.559
11.2,45.24,2.1,68.4,28.9,29.6,0.75,2.85,131.0,4.43,40.8,0.558
13.4,37.57,2.22,57.6,29.5,29.7,1.01,2.94,135.0,5.1,42.8,0.457
14.0,64.54,2.68,66.9,32.7,30.6,0.928,2.33,127.0,5.79,41.0,0.55
14.0,61.32,2.81,65.2,33.8,30.9,0.849,2.85,142.0,7.48,42.8,0.534
13.3,35.09,2.59,60.2,35.8,30.7,0.632,2.48,123.0,3.9,42.6,0.572
13.2,46.62,2.24,60.2,37.2,28.8,0.799,2.8,140.0,5.34,42.3,0.481
13.2,61.53,2.01,58.1,22.3,30.9,0.652,2.79,153.0,5.11,43.2,0.573
14.1,59.53,2.37,66.7,29.1,28.5,0.716,2.59,123.0,6.24,40.8,0.506
13.4,35.14,2.97,68.9,29.1,29.7,0.687,2.08,129.0,5.52,42.3,0.63
13.0,52.47,2.62,68.8,35.7,31.1,0.996,2.21,139.0,6.12,41.5,0.579
13.3,67.48,2.47,63.1,18.9,30.8,1.05,2.97,125.0,5.06,41.9,0.628
12.1,31.45,2.92,69.4,19.2,30.5,0.903,2.21,134.0,5.28,44.0,0.581
13.8,40.99,2.43,58.9,34.3,29.6,1.02,2.12,121.0,3.63,41.0,0.452
14.8,32.26,2.89,67.8,23.4,27.9,0.957,2.58,117.0,7.57,43.0,0.612
12.3,42.61,2.5,67.5,31.8,31.2,1.05,2.56,128.0,5.98,43.0,0.635
13.3,56.83,2.47,62.6,35.1,29.6,1.09,2.13,128.0,6.01,43.1,0.572
13.6,30.47,2.1,61.4,26.1,29.5,0.82,2.87,114.0,4.93,42.9,0.604
14.8,55.44,2.78,52.9,24.5,31.1,0.604,2.34,153.0,5.19,41.1,0.609
12.6,46.34,2.63,67.6,36.3,29.0,1.05,2.8,136.0,5.61,43.8,0.625
15.4,67.2,2.33,60.0,44.5,28.0,0.667,3.0,143.0,4.29,41.0,0.611
13.4,34.18,2.13,66.4,33.4,29.8,0.601,2.96,118.0,2.93,40.2,0.6
14.8,65.41,2.81,66.4,27.8,29.8,0.788,2.72,137.0,5.49,41.1,0.483
13.2,61.25,2.49,57.2,40.9,30.3,1.07,2.66,137.0,4.6,41.7,0.452
13.4,31.23,2.88,68.2,23.0,29.5,0.951,2.02,123.0,4.02,43.8,0.512
13.7,60.81,2.99,59.7,25.3,30.0,0.981,2.89,150.0,5.71,42.1,0.571
12.2,46.74,2.27,65.4,29.0,30.1,0.648,2.15,143.0,6.26,42.5,0.569
13.5,36.0,2.45,72.7,25.0,28.3,0.673,2.66,136.0,4.33,41.6,0.488
13.2,58.97,2.51,64.4,37.8,30.1,0.702,2.6,131.0,5.29,42.3,0.472
13.2,53.73,2.67,73.5,29.6,28.9,0.996,2.43,127.0,3.84,42.4,0.49
11.6,35.17,2.69,70.3,24.9,32.7,0.896,2.46,123.0,6.23,42.0,0.53
12.8,67.82,2.01,62.0,29.9,30.6,1.04,2.84,135.0,5.4,42.9,0.572
13.2,32.5,2.11,68.7,27.2,29.4,0.994,2.32,121.0,4.87,43.8,0.606
11.9,33.53,2.47,62.8,22.1,31.9,0.803,2.68,142.0,5.47,42.4,0.529
11.8,49.14,2.38,63.4,32.2,29.4,0.893,2.62,121.0,3.51,40.8,0.547
14.2,46.26,2.79,58.7,32.4,29.8,0.722,2.26,115.0,4.28,43.4,0.503
13.0,51.89,2.42,56.8,34.6,31.4,0.922,2.35,131.0,4.66,41.9,0.576
14.2,36.08,2.69,69.4,32.5,29.4,1.04,2.16,126.0,3.56,40.6,0.476
11.4,63.16,2.85,65.5,24.2,30.7,0.689,3.0,130.0,5.07,42.1,0.518
13.8,49.51,2.6,72.3,33.6,29.6,0.941,2.39,124.0,3.94,42.0,0.552
13.9,39.32,2.73,64.7,27.6,31.3,0.912,2.7,162.0,6.77,42.7,0.633
14.2,63.04,2.61,59.3,36.5,29.9,0.98,2.97,119.0,7.15,43.9,0.616
13.8,69.32,2.03,60.0,30.3,29.3,0.65,2.28,123.0,6.48,41.8,0.465
12.5,34.01,2.71,62.9,37.7,30.4,0.925,2.66,134.0,4.31,42.3,0.453
12.1,36.86,2.9,61.5,21.8,29.7,0.884,2.83,128.0,5.61,42.6,0.625
12.7,47.03,2.84,62.0,29.9,30.0,0.936,2.82,143.0,4.75,40.9,0.482
12.7,30.76,2.75,64.3,33.5,28.8,1.01,2.08,138.0,4.84,41.4,0.514
12.1,53.18,2.06,66.0,41.5,29.9,0.861,2.94,127.0,3.23,43.3,0.584
14.4,42.1,2.42,53.4,26.0,30.7,0.939,2.67,129.0,4.34,40.4,0.475
13.6,56.97,2.63,75.9,29.3,29.8,0.607,2.46,133.0,6.51,42.0,0.465
13.3,63.45,2.82,66.8,24.3,30.6,1.09,2.92,131.0,4.8,42.2,0.476
12.4,39.19,2.79,72.4,33.9,29.6,0.914,2.37,119.0,6.08,42.9,0.613
15.0,45.56,2.02,62.3,23.0,30.6,0.993,2.9,124.0,6.16,40.4,0.574
11.2,56.69,2.23,63.3,32.9,28.3,0.915,2.17,134.0,4.58,41.7,0.635
14.6,51.02,2.59,68.7,23.1,29.5,0.611,2.29,126.0,4.79,42.7,0.549
14.0,67.24,2.51,63.0,30.8,30.8,0.963,2.32,129.0,4.22,42.2,0.519
13.0,32.99,2.03,64.6,37.9,29.2,0.636,2.31,142.0,3.71,42.7,0.503
13.5,64.45,2.86,66.9,30.5,29.0,0.698,3.0,140.0,4.73,41.7,0.596
